r(thres)	L	N	D(dens.)	con_comp	CC(clus.)	check_sum	ave_degr
0.540000	49	64	0.024306	18.000000	0.000000	1.000000	1.531250	
0.550000	41	64	0.020337	23.000000	0.000000	1.000000	1.281250	
0.560000	35	64	0.017361	29.000000	0.000000	1.000000	1.093750	
0.570000	32	64	0.015873	32.000000	0.000000	1.000000	1.000000	
0.580000	28	64	0.013889	36.000000	0.000000	1.000000	0.875000	
0.590000	25	64	0.012401	39.000000	0.000000	1.000000	0.781250	
0.600000	22	64	0.010913	42.000000	0.000000	1.000000	0.687500	
0.610000	16	64	0.007937	48.000000	0.000000	1.000000	0.500000	
0.620000	16	64	0.007937	48.000000	0.000000	1.000000	0.500000	
0.630000	13	64	0.006448	51.000000	0.000000	1.000000	0.406250	
0.640000	11	64	0.005456	53.000000	0.000000	1.000000	0.343750	
0.650000	10	64	0.004960	54.000000	0.000000	1.000000	0.312500	
0.660000	8	64	0.003968	56.000000	0.000000	1.000000	0.250000	
0.670000	8	64	0.003968	56.000000	0.000000	1.000000	0.250000	
0.680000	7	64	0.003472	57.000000	0.000000	1.000000	0.218750	
0.690000	6	64	0.002976	58.000000	0.000000	1.000000	0.187500	
0.700000	2	64	0.000992	62.000000	0.000000	1.000000	0.062500	
0.710000	1	64	0.000496	63.000000	0.000000	1.000000	0.031250	
0.720000	1	64	0.000496	63.000000	0.000000	1.000000	0.031250	
0.730000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.740000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.750000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.760000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.770000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.780000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.790000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.800000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.810000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.820000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.830000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.840000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.850000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.860000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.870000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.880000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.890000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.900000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.910000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.920000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.930000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.940000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.950000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.960000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.970000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.980000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
0.990000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
1.000000	0	64	0.000000	64.000000	0.000000	1.000000	0.000000	
