node	r(thre.)	count
14	0.060000	1
15	0.060000	1
16	0.060000	1
17	0.060000	1
18	0.060000	1
19	0.060000	1
20	0.060000	1
21	0.060000	1
22	0.060000	1
23	0.060000	1
24	0.060000	1
25	0.060000	1
26	0.060000	1
27	0.060000	1
28	0.060000	1
29	0.060000	1
30	0.060000	1
31	0.060000	1
32	0.060000	1
33	0.060000	1
34	0.060000	1
35	0.060000	1
36	0.060000	1
37	0.060000	1
38	0.060000	1
39	0.060000	1
40	0.060000	1
41	0.060000	1
42	0.060000	1
43	0.060000	1
44	0.060000	1
45	0.060000	1
46	0.060000	1
47	0.060000	1
48	0.060000	1
49	0.060000	1
50	0.060000	1
51	0.060000	1
52	0.060000	1
53	0.060000	1
54	0.060000	1
55	0.060000	1
56	0.060000	1
57	0.060000	1
58	0.060000	1
59	0.060000	1
60	0.060000	1
61	0.060000	1
62	0.060000	1
63	0.060000	1

0	0.070000	1
1	0.070000	1
2	0.070000	1
3	0.070000	1
4	0.070000	1
5	0.070000	1
6	0.070000	1
7	0.070000	1
8	0.070000	1
9	0.070000	1
10	0.070000	1
11	0.070000	1
12	0.070000	1
13	0.070000	1
14	0.070000	1
15	0.070000	1
16	0.070000	1
17	0.070000	1
18	0.070000	1
19	0.070000	1
20	0.070000	1
21	0.070000	1
22	0.070000	1
23	0.070000	1
24	0.070000	1
25	0.070000	1
26	0.070000	1
27	0.070000	1
28	0.070000	1
29	0.070000	1
30	0.070000	1
31	0.070000	1
32	0.070000	1
33	0.070000	1
34	0.070000	1
35	0.070000	1
36	0.070000	1
37	0.070000	1
38	0.070000	1
39	0.070000	1
40	0.070000	1
41	0.070000	1
42	0.070000	1
43	0.070000	1
44	0.070000	1
45	0.070000	1
46	0.070000	1
47	0.070000	1
48	0.070000	1
49	0.070000	1
50	0.070000	1
51	0.070000	1
52	0.070000	1
53	0.070000	1
54	0.070000	1
55	0.070000	1
56	0.070000	1
57	0.070000	1
58	0.070000	1
59	0.070000	1
60	0.070000	1
61	0.070000	1
62	0.070000	1
63	0.070000	1

0	0.080000	1
1	0.080000	1
2	0.080000	1
3	0.080000	1
4	0.080000	1
5	0.080000	1
6	0.080000	1
7	0.080000	1
8	0.080000	1
9	0.080000	1
10	0.080000	1
11	0.080000	1
12	0.080000	1
13	0.080000	1
14	0.080000	1
15	0.080000	1
16	0.080000	1
17	0.080000	1
18	0.080000	1
19	0.080000	1
20	0.080000	1
21	0.080000	1
22	0.080000	1
23	0.080000	1
24	0.080000	1
25	0.080000	1
26	0.080000	1
27	0.080000	1
28	0.080000	1
29	0.080000	1
30	0.080000	1
31	0.080000	1
32	0.080000	1
33	0.080000	1
34	0.080000	1
35	0.080000	1
36	0.080000	1
37	0.080000	1
38	0.080000	1
39	0.080000	1
40	0.080000	1
41	0.080000	1
42	0.080000	1
43	0.080000	1
44	0.080000	1
45	0.080000	1
46	0.080000	1
47	0.080000	1
48	0.080000	1
49	0.080000	1
50	0.080000	1
51	0.080000	1
52	0.080000	1
53	0.080000	1
54	0.080000	1
55	0.080000	1
56	0.080000	1
57	0.080000	1
58	0.080000	1
59	0.080000	1
60	0.080000	1
61	0.080000	1
62	0.080000	1
63	0.080000	1

0	0.090000	1
1	0.090000	1
2	0.090000	1
3	0.090000	1
4	0.090000	1
5	0.090000	1
6	0.090000	1
7	0.090000	1
8	0.090000	1
9	0.090000	1
10	0.090000	1
11	0.090000	1
12	0.090000	1
13	0.090000	1
14	0.090000	1
15	0.090000	1
16	0.090000	1
17	0.090000	1
18	0.090000	1
19	0.090000	1
20	0.090000	1
21	0.090000	1
22	0.090000	1
23	0.090000	1
24	0.090000	1
25	0.090000	1
26	0.090000	1
27	0.090000	1
28	0.090000	1
29	0.090000	1
30	0.090000	1
31	0.090000	1
32	0.090000	1
33	0.090000	1
34	0.090000	1
35	0.090000	1
36	0.090000	1
37	0.090000	1
38	0.090000	1
39	0.090000	1
40	0.090000	1
41	0.090000	1
42	0.090000	1
43	0.090000	1
44	0.090000	1
45	0.090000	1
46	0.090000	1
47	0.090000	1
48	0.090000	1
49	0.090000	1
50	0.090000	1
51	0.090000	1
52	0.090000	1
53	0.090000	1
54	0.090000	1
55	0.090000	1
56	0.090000	1
57	0.090000	1
58	0.090000	1
59	0.090000	1
60	0.090000	1
61	0.090000	1
62	0.090000	1
63	0.090000	1

0	0.100000	1
1	0.100000	1
2	0.100000	1
3	0.100000	1
4	0.100000	1
5	0.100000	1
6	0.100000	1
7	0.100000	1
8	0.100000	1
9	0.100000	1
10	0.100000	1
11	0.100000	1
12	0.100000	1
13	0.100000	1
14	0.100000	1
15	0.100000	1
16	0.100000	1
17	0.100000	1
18	0.100000	1
19	0.100000	1
20	0.100000	1
21	0.100000	1
22	0.100000	1
23	0.100000	1
24	0.100000	1
25	0.100000	1
26	0.100000	1
27	0.100000	1
28	0.100000	1
29	0.100000	1
30	0.100000	1
31	0.100000	1
32	0.100000	1
33	0.100000	1
34	0.100000	1
35	0.100000	1
36	0.100000	1
37	0.100000	1
38	0.100000	1
39	0.100000	1
40	0.100000	1
41	0.100000	1
42	0.100000	1
43	0.100000	1
44	0.100000	1
45	0.100000	1
46	0.100000	1
47	0.100000	1
48	0.100000	1
49	0.100000	1
50	0.100000	1
51	0.100000	1
52	0.100000	1
53	0.100000	1
54	0.100000	1
55	0.100000	1
56	0.100000	1
57	0.100000	1
58	0.100000	1
59	0.100000	1
60	0.100000	1
61	0.100000	1
62	0.100000	1
63	0.100000	1

0	0.110000	1
1	0.110000	1
2	0.110000	1
3	0.110000	1
4	0.110000	1
5	0.110000	1
6	0.110000	1
7	0.110000	1
8	0.110000	1
9	0.110000	1
10	0.110000	1
11	0.110000	1
12	0.110000	1
13	0.110000	1
14	0.110000	1
15	0.110000	1
16	0.110000	1
17	0.110000	1
18	0.110000	1
19	0.110000	1
20	0.110000	1
21	0.110000	1
22	0.110000	1
23	0.110000	1
24	0.110000	1
25	0.110000	1
26	0.110000	1
27	0.110000	1
28	0.110000	1
29	0.110000	1
30	0.110000	1
31	0.110000	1
32	0.110000	1
33	0.110000	1
34	0.110000	1
35	0.110000	1
36	0.110000	1
37	0.110000	1
38	0.110000	1
39	0.110000	1
40	0.110000	1
41	0.110000	1
42	0.110000	1
43	0.110000	1
44	0.110000	1
45	0.110000	1
46	0.110000	1
47	0.110000	1
48	0.110000	1
49	0.110000	1
50	0.110000	1
51	0.110000	1
52	0.110000	1
53	0.110000	1
54	0.110000	1
55	0.110000	1
56	0.110000	1
57	0.110000	1
58	0.110000	1
59	0.110000	1
60	0.110000	1
61	0.110000	1
62	0.110000	1
63	0.110000	1

0	0.120000	1
1	0.120000	1
2	0.120000	1
3	0.120000	1
4	0.120000	1
5	0.120000	1
6	0.120000	1
7	0.120000	1
8	0.120000	1
9	0.120000	1
10	0.120000	1
11	0.120000	1
12	0.120000	1
13	0.120000	1
14	0.120000	1
15	0.120000	1
16	0.120000	1
17	0.120000	1
18	0.120000	1
19	0.120000	1
20	0.120000	1
21	0.120000	1
22	0.120000	1
23	0.120000	1
24	0.120000	1
25	0.120000	1
26	0.120000	1
27	0.120000	1
28	0.120000	1
29	0.120000	1
30	0.120000	1
31	0.120000	1
32	0.120000	1
33	0.120000	1
34	0.120000	1
35	0.120000	1
36	0.120000	1
37	0.120000	1
38	0.120000	1
39	0.120000	1
40	0.120000	1
41	0.120000	1
42	0.120000	1
43	0.120000	1
44	0.120000	1
45	0.120000	1
46	0.120000	1
47	0.120000	1
48	0.120000	1
49	0.120000	1
50	0.120000	1
51	0.120000	1
52	0.120000	1
53	0.120000	1
54	0.120000	1
55	0.120000	1
56	0.120000	1
57	0.120000	1
58	0.120000	1
59	0.120000	1
60	0.120000	1
61	0.120000	1
62	0.120000	1
63	0.120000	1

0	0.130000	1
1	0.130000	1
2	0.130000	1
3	0.130000	1
4	0.130000	1
5	0.130000	1
6	0.130000	1
7	0.130000	1
8	0.130000	1
9	0.130000	1
10	0.130000	1
11	0.130000	1
12	0.130000	1
13	0.130000	1
14	0.130000	1
15	0.130000	1
16	0.130000	1
17	0.130000	1
18	0.130000	1
19	0.130000	1
20	0.130000	1
21	0.130000	1
22	0.130000	1
23	0.130000	1
24	0.130000	1
25	0.130000	1
26	0.130000	1
27	0.130000	1
28	0.130000	1
29	0.130000	1
30	0.130000	1
31	0.130000	1
32	0.130000	1
33	0.130000	1
34	0.130000	1
35	0.130000	1
36	0.130000	1
37	0.130000	1
38	0.130000	1
39	0.130000	1
40	0.130000	1
41	0.130000	1
42	0.130000	1
43	0.130000	1
44	0.130000	1
45	0.130000	1
46	0.130000	1
47	0.130000	1
48	0.130000	1
49	0.130000	1
50	0.130000	1
51	0.130000	1
52	0.130000	1
53	0.130000	1
54	0.130000	1
55	0.130000	1
56	0.130000	1
57	0.130000	1
58	0.130000	1
59	0.130000	1
60	0.130000	1
61	0.130000	1
62	0.130000	1
63	0.130000	1

0	0.140000	1
1	0.140000	1
2	0.140000	1
3	0.140000	1
4	0.140000	1
5	0.140000	1
6	0.140000	1
7	0.140000	1
8	0.140000	1
9	0.140000	1
10	0.140000	1
11	0.140000	1
12	0.140000	1
13	0.140000	1
14	0.140000	1
15	0.140000	1
16	0.140000	1
17	0.140000	1
18	0.140000	1
19	0.140000	1
20	0.140000	1
21	0.140000	1
22	0.140000	1
23	0.140000	1
24	0.140000	1
25	0.140000	1
26	0.140000	1
27	0.140000	1
28	0.140000	1
29	0.140000	1
30	0.140000	1
31	0.140000	1
32	0.140000	1
33	0.140000	1
34	0.140000	1
35	0.140000	1
36	0.140000	1
37	0.140000	1
38	0.140000	1
39	0.140000	1
40	0.140000	1
41	0.140000	1
42	0.140000	1
43	0.140000	1
44	0.140000	1
45	0.140000	1
46	0.140000	1
47	0.140000	1
48	0.140000	1
49	0.140000	1
50	0.140000	1
51	0.140000	1
52	0.140000	1
53	0.140000	1
54	0.140000	1
55	0.140000	1
56	0.140000	1
57	0.140000	1
58	0.140000	1
59	0.140000	1
60	0.140000	1
61	0.140000	1
62	0.140000	1
63	0.140000	1

0	0.150000	1
1	0.150000	1
2	0.150000	1
3	0.150000	1
4	0.150000	1
5	0.150000	1
6	0.150000	1
7	0.150000	1
8	0.150000	1
9	0.150000	1
10	0.150000	1
11	0.150000	1
12	0.150000	1
13	0.150000	1
14	0.150000	1
15	0.150000	1
16	0.150000	1
17	0.150000	1
18	0.150000	1
19	0.150000	1
20	0.150000	1
21	0.150000	1
22	0.150000	1
23	0.150000	1
24	0.150000	1
25	0.150000	1
26	0.150000	1
27	0.150000	1
28	0.150000	1
29	0.150000	1
30	0.150000	1
31	0.150000	1
32	0.150000	1
33	0.150000	1
34	0.150000	1
35	0.150000	1
36	0.150000	1
37	0.150000	1
38	0.150000	1
39	0.150000	1
40	0.150000	1
41	0.150000	1
42	0.150000	1
43	0.150000	1
44	0.150000	1
45	0.150000	1
46	0.150000	1
47	0.150000	1
48	0.150000	1
49	0.150000	1
50	0.150000	1
51	0.150000	1
52	0.150000	1
53	0.150000	1
54	0.150000	1
55	0.150000	1
56	0.150000	1
57	0.150000	1
58	0.150000	1
59	0.150000	1
60	0.150000	1
61	0.150000	1
62	0.150000	1
63	0.150000	1

0	0.160000	1
1	0.160000	1
2	0.160000	1
3	0.160000	1
4	0.160000	1
5	0.160000	1
6	0.160000	1
7	0.160000	1
8	0.160000	1
9	0.160000	1
10	0.160000	1
11	0.160000	1
12	0.160000	1
13	0.160000	1
14	0.160000	1
15	0.160000	1
16	0.160000	1
17	0.160000	1
18	0.160000	1
19	0.160000	1
20	0.160000	1
21	0.160000	1
22	0.160000	1
23	0.160000	1
24	0.160000	1
25	0.160000	1
26	0.160000	1
27	0.160000	1
28	0.160000	1
29	0.160000	1
30	0.160000	1
31	0.160000	1
32	0.160000	1
33	0.160000	1
34	0.160000	1
35	0.160000	1
36	0.160000	1
37	0.160000	1
38	0.160000	1
39	0.160000	1
40	0.160000	1
41	0.160000	1
42	0.160000	1
43	0.160000	1
44	0.160000	1
45	0.160000	1
46	0.160000	1
47	0.160000	1
48	0.160000	1
49	0.160000	1
50	0.160000	1
51	0.160000	1
52	0.160000	1
53	0.160000	1
54	0.160000	1
55	0.160000	1
56	0.160000	1
57	0.160000	1
58	0.160000	1
59	0.160000	1
60	0.160000	1
61	0.160000	1
62	0.160000	1
63	0.160000	1

0	0.170000	1
1	0.170000	1
2	0.170000	1
3	0.170000	1
4	0.170000	1
5	0.170000	1
6	0.170000	1
7	0.170000	1
8	0.170000	1
9	0.170000	1
10	0.170000	1
11	0.170000	1
12	0.170000	1
13	0.170000	1
14	0.170000	1
15	0.170000	1
16	0.170000	1
17	0.170000	1
18	0.170000	1
19	0.170000	1
20	0.170000	1
21	0.170000	1
22	0.170000	1
23	0.170000	1
24	0.170000	1
25	0.170000	1
26	0.170000	1
27	0.170000	1
28	0.170000	1
29	0.170000	1
30	0.170000	1
31	0.170000	1
32	0.170000	1
33	0.170000	1
34	0.170000	1
35	0.170000	1
36	0.170000	1
37	0.170000	1
38	0.170000	1
39	0.170000	1
40	0.170000	1
41	0.170000	1
42	0.170000	1
43	0.170000	1
44	0.170000	1
45	0.170000	1
46	0.170000	1
47	0.170000	1
48	0.170000	1
49	0.170000	1
50	0.170000	1
51	0.170000	1
52	0.170000	1
53	0.170000	1
54	0.170000	1
55	0.170000	1
56	0.170000	1
57	0.170000	1
58	0.170000	1
59	0.170000	1
60	0.170000	1
61	0.170000	1
62	0.170000	1
63	0.170000	1

0	0.180000	1
1	0.180000	1
2	0.180000	1
3	0.180000	1
4	0.180000	1
5	0.180000	1
6	0.180000	1
7	0.180000	1
8	0.180000	1
9	0.180000	1
10	0.180000	1
11	0.180000	1
12	0.180000	1
13	0.180000	1
14	0.180000	1
15	0.180000	1
16	0.180000	1
17	0.180000	1
18	0.180000	1
19	0.180000	1
20	0.180000	1
21	0.180000	1
22	0.180000	1
23	0.180000	1
24	0.180000	1
25	0.180000	1
26	0.180000	1
27	0.180000	1
28	0.180000	1
29	0.180000	1
30	0.180000	1
31	0.180000	1
32	0.180000	1
33	0.180000	1
34	0.180000	1
35	0.180000	1
36	0.180000	1
37	0.180000	1
38	0.180000	1
39	0.180000	1
40	0.180000	1
41	0.180000	1
42	0.180000	1
43	0.180000	1
44	0.180000	1
45	0.180000	1
46	0.180000	1
47	0.180000	1
48	0.180000	1
49	0.180000	1
50	0.180000	1
51	0.180000	1
52	0.180000	1
53	0.180000	1
54	0.180000	1
55	0.180000	1
56	0.180000	1
57	0.180000	1
58	0.180000	1
59	0.180000	1
60	0.180000	1
61	0.180000	1
62	0.180000	1
63	0.180000	1

0	0.190000	1
1	0.190000	1
2	0.190000	1
3	0.190000	1
4	0.190000	1
5	0.190000	1
6	0.190000	1
7	0.190000	1
8	0.190000	1
9	0.190000	1
10	0.190000	1
11	0.190000	1
12	0.190000	1
13	0.190000	1
14	0.190000	1
15	0.190000	1
16	0.190000	1
17	0.190000	1
18	0.190000	1
19	0.190000	1
20	0.190000	1
21	0.190000	1
22	0.190000	1
23	0.190000	1
24	0.190000	1
25	0.190000	1
26	0.190000	1
27	0.190000	1
28	0.190000	1
29	0.190000	1
30	0.190000	1
31	0.190000	1
32	0.190000	1
33	0.190000	1
34	0.190000	1
35	0.190000	1
36	0.190000	1
37	0.190000	1
38	0.190000	1
39	0.190000	1
40	0.190000	1
41	0.190000	1
42	0.190000	1
43	0.190000	1
44	0.190000	1
45	0.190000	1
46	0.190000	1
47	0.190000	1
48	0.190000	1
49	0.190000	1
50	0.190000	1
51	0.190000	1
52	0.190000	1
53	0.190000	1
54	0.190000	1
55	0.190000	1
56	0.190000	1
57	0.190000	1
58	0.190000	1
59	0.190000	1
60	0.190000	1
61	0.190000	1
62	0.190000	1
63	0.190000	1

0	0.200000	1
1	0.200000	1
2	0.200000	1
3	0.200000	1
4	0.200000	1
5	0.200000	1
6	0.200000	1
7	0.200000	1
8	0.200000	1
9	0.200000	1
10	0.200000	1
11	0.200000	1
12	0.200000	1
13	0.200000	1
14	0.200000	1
15	0.200000	1
16	0.200000	1
17	0.200000	1
18	0.200000	1
19	0.200000	1
20	0.200000	1
21	0.200000	1
22	0.200000	1
23	0.200000	1
24	0.200000	1
25	0.200000	1
26	0.200000	1
27	0.200000	1
28	0.200000	1
29	0.200000	1
30	0.200000	1
31	0.200000	1
32	0.200000	1
33	0.200000	1
34	0.200000	1
35	0.200000	1
36	0.200000	1
37	0.200000	1
38	0.200000	1
39	0.200000	1
40	0.200000	1
41	0.200000	1
42	0.200000	1
43	0.200000	1
44	0.200000	1
45	0.200000	1
46	0.200000	1
47	0.200000	1
48	0.200000	1
49	0.200000	1
50	0.200000	1
51	0.200000	1
52	0.200000	1
53	0.200000	1
54	0.200000	1
55	0.200000	1
56	0.200000	1
57	0.200000	1
58	0.200000	1
59	0.200000	1
60	0.200000	1
61	0.200000	1
62	0.200000	1
63	0.200000	1

0	0.210000	1
1	0.210000	1
2	0.210000	1
3	0.210000	1
4	0.210000	1
5	0.210000	1
6	0.210000	1
7	0.210000	1
8	0.210000	1
9	0.210000	1
10	0.210000	1
11	0.210000	1
12	0.210000	1
13	0.210000	1
14	0.210000	1
15	0.210000	1
16	0.210000	1
17	0.210000	1
18	0.210000	1
19	0.210000	1
20	0.210000	1
21	0.210000	1
22	0.210000	1
23	0.210000	1
24	0.210000	1
25	0.210000	1
26	0.210000	1
27	0.210000	1
28	0.210000	1
29	0.210000	1
30	0.210000	1
31	0.210000	1
32	0.210000	1
33	0.210000	1
34	0.210000	1
35	0.210000	1
36	0.210000	1
37	0.210000	1
38	0.210000	1
39	0.210000	1
40	0.210000	1
41	0.210000	1
42	0.210000	1
43	0.210000	1
44	0.210000	1
45	0.210000	1
46	0.210000	1
47	0.210000	1
48	0.210000	1
49	0.210000	1
50	0.210000	1
51	0.210000	1
52	0.210000	1
53	0.210000	1
54	0.210000	1
55	0.210000	1
56	0.210000	1
57	0.210000	1
58	0.210000	1
59	0.210000	1
60	0.210000	1
61	0.210000	1
62	0.210000	1
63	0.210000	1

0	0.220000	1
1	0.220000	1
2	0.220000	1
3	0.220000	1
4	0.220000	1
5	0.220000	1
6	0.220000	1
7	0.220000	1
8	0.220000	1
9	0.220000	1
10	0.220000	1
11	0.220000	1
12	0.220000	1
13	0.220000	1
14	0.220000	1
15	0.220000	1
16	0.220000	1
17	0.220000	1
18	0.220000	1
19	0.220000	1
20	0.220000	1
21	0.220000	1
22	0.220000	1
23	0.220000	1
24	0.220000	1
25	0.220000	1
26	0.220000	1
27	0.220000	1
28	0.220000	1
29	0.220000	1
30	0.220000	1
31	0.220000	1
32	0.220000	1
33	0.220000	1
34	0.220000	1
35	0.220000	1
36	0.220000	1
37	0.220000	1
38	0.220000	1
39	0.220000	1
40	0.220000	1
41	0.220000	1
42	0.220000	1
43	0.220000	1
44	0.220000	1
45	0.220000	1
46	0.220000	1
47	0.220000	1
48	0.220000	1
49	0.220000	1
50	0.220000	1
51	0.220000	1
52	0.220000	1
53	0.220000	1
54	0.220000	1
55	0.220000	1
56	0.220000	1
57	0.220000	1
58	0.220000	1
59	0.220000	1
60	0.220000	1
61	0.220000	1
62	0.220000	1
63	0.220000	1

0	0.230000	1
1	0.230000	1
2	0.230000	1
3	0.230000	1
4	0.230000	1
5	0.230000	1
6	0.230000	1
7	0.230000	1
8	0.230000	1
9	0.230000	1
10	0.230000	1
11	0.230000	1
12	0.230000	1
13	0.230000	1
14	0.230000	1
15	0.230000	1
16	0.230000	1
17	0.230000	1
18	0.230000	1
19	0.230000	1
20	0.230000	1
21	0.230000	1
22	0.230000	1
23	0.230000	1
24	0.230000	1
25	0.230000	1
26	0.230000	1
27	0.230000	1
28	0.230000	1
29	0.230000	1
30	0.230000	1
31	0.230000	1
32	0.230000	1
33	0.230000	1
34	0.230000	1
35	0.230000	1
36	0.230000	1
37	0.230000	1
38	0.230000	1
39	0.230000	1
40	0.230000	1
41	0.230000	1
42	0.230000	1
43	0.230000	1
44	0.230000	1
45	0.230000	1
46	0.230000	1
47	0.230000	1
48	0.230000	1
49	0.230000	1
50	0.230000	1
51	0.230000	1
52	0.230000	1
53	0.230000	1
54	0.230000	1
55	0.230000	1
56	0.230000	1
57	0.230000	1
58	0.230000	1
59	0.230000	1
60	0.230000	1
61	0.230000	1
62	0.230000	1
63	0.230000	1

0	0.240000	1
1	0.240000	1
2	0.240000	1
3	0.240000	1
4	0.240000	1
5	0.240000	1
6	0.240000	1
7	0.240000	1
8	0.240000	1
9	0.240000	1
10	0.240000	1
11	0.240000	1
12	0.240000	1
13	0.240000	1
